SpecObjID ObjID Red zSpec extinctionU extinctionG extinctionR extinctionI extinctionZ uberColorU uberColorG uberColorR uberColorI ModelMagErr_U ModelMagErr_G ModelMagErr_R ModelMagErr_I ModelMagErr_Z
82132247401988096 587722982282231944 0 0.0864059 0.1764244 0.1298114 0.09415006 0.07139114 0.05061721 1.374863 0.6203785 0.3889885 0.2633209 0.06782241 0.01470383 0.008561974 0.008696796 0.01790841
82976921943539712 587722982284460285 0 0.0822081 0.1123746 0.0826842 0.05996947 0.04547304 0.03224095 1.25857 0.6145935 0.3752823 0.2121105 0.02751448 0.005247629 0.004514921 0.00444348 0.009817909
78191512340398080 587722982807634071 0 0.101635 0.1555024 0.1144172 0.08298488 0.06292492 0.04461455 1.703205 0.814909 0.4288149 0.3258572 0.04020741 0.005381641 0.004084804 0.003990623 0.008749646
78472953049645056 587722982808354894 0 0.113596 0.2064287 0.1518882 0.110162 0.08353253 0.0592256 1.923923 1.043846 0.4184303 0.4137106 0.06338724 0.006805149 0.004459901 0.00441399 0.008808852
80161987874521088 587722982812876923 0 0.0596326 0.1276451 0.09392008 0.06811868 0.05165233 0.03662214 1.862192 0.8436451 0.399065 0.3578386 0.0425456 0.005518871 0.003979848 0.00400748 0.008171109
80161987547365376 587722982813073531 0 0.134285 0.1083937 0.07975504 0.05784501 0.04386212 0.03109879 1.795744 1.117548 0.4989719 0.3754425 0.08792836 0.01002847 0.006152789 0.006165907 0.01257355
80443406840496128 587722982813728847 0 0.179311 0.1565507 0.1151885 0.08354431 0.06334912 0.04491531 1.687363 1.206326 0.4865875 0.3388195 0.1191287 0.01399568 0.007253587 0.006859462 0.01638242
81006756234264576 587722982815236204 0 0.116815 0.1101842 0.08107246 0.05880051 0.04458665 0.03161249 1.366468 0.6823673 0.4008465 0.2421551 0.06383378 0.01008206 0.009162451 0.008572662 0.01993261
81006755735142400 587722982815694892 0 0.185013 0.1123989 0.08270202 0.0599824 0.04548284 0.0322479 1.887924 1.16503 0.4937286 0.2698345 0.1632135 0.01861113 0.01019278 0.009171169 0.02184625
81850828767363072 587722982817988803 0 0.140831 0.1268582 0.09334104 0.06769871 0.05133388 0.03639636 1.751244 1.024157 0.4083748 0.3575802 0.08559775 0.009897458 0.006338124 0.006386878 0.0148131
81850828788334592 587722982817923216 0 0.13769 0.115784 0.08519275 0.06178889 0.04685264 0.03321911 1.870024 0.9924698 0.3930283 0.3296051 0.05730503 0.007292475 0.005566335 0.005571167 0.01087939
82412353450147840 587722982818709707 0 0.118416 0.1126372 0.08287736 0.06010957 0.04557927 0.03231627 1.140919 0.5510654 0.361187 0.1990433 0.02369997 0.006788349 0.00508578 0.005030164 0.01153721
82412352892305408 587722982819233998 0 0.109269 0.110295 0.08115399 0.05885964 0.04463148 0.03164428 1.036203 0.4246292 0.316 0.1160221 0.03024997 0.007845956 0.01079664 0.007239203 0.01962445
82412353001357312 587722982819233935 0 0.194426 0.1093915 0.08048924 0.05837751 0.0442659 0.03138508 2.036161 1.277811 0.4563217 0.3400936 0.1411893 0.01264159 0.006869332 0.006711031 0.01515041
82976922472022016 587722982820937823 0 0.0716174 0.1081151 0.07955004 0.05769632 0.04374937 0.03101885 1.191778 0.5462799 0.3201752 0.1699219 0.03534047 0.007361022 0.006858877 0.006930171 0.01822008
82976921599606784 587722982821527770 0 0.0640115 0.1119344 0.08236027 0.05973454 0.04529489 0.03211464 1.237709 0.5370922 0.3428783 0.2420692 0.03854014 0.007135366 0.006230938 0.006564783 0.01685663
78191513649020928 587722983344308344 0 0.0650142 0.1483276 0.109138 0.07915602 0.06002161 0.04255607 1.607996 0.7736263 0.3592529 0.4719658 0.1957876 0.02463808 0.01895897 0.01798502 0.04228726
78754790430998528 587722983346143300 0 0.137551 0.1976779 0.1454495 0.1054921 0.07999148 0.05671496 1.289793 0.8463898 0.4158363 0.3047504 0.04409408 0.007173121 0.005494962 0.005434518 0.01414397
79597814996271104 587722983348043958 0 0.0659975 0.1279574 0.09414983 0.06828531 0.05177868 0.03671173 0.8593388 0.1844788 0.2741432 0.08430004 0.0145267 0.003877568 0.004165791 0.004440373 0.01493605
80161988348477440 587722983349616695 0 0.137529 0.128431 0.09449831 0.06853806 0.05197034 0.03684762 1.538807 0.9259033 0.4115067 0.2784805 0.09097633 0.01062871 0.007479054 0.007538848 0.02037433
81288133718573056 587722983352959131 0 0.123752 0.1467813 0.1080003 0.07833082 0.05939589 0.04211242 1.721724 1.002907 0.4274845 0.3366108 0.0813517 0.009063928 0.006016873 0.005884361 0.01440945
81569566290870272 587722983354204306 0 0.0908572 0.1221244 0.08985795 0.06517248 0.04941832 0.0350382 1.424837 0.7413387 0.4105396 0.3177261 0.05580631 0.008709825 0.00693491 0.00696418 0.01761702
81850830231175168 587722983354663083 0 0.108293 0.1117904 0.0822543 0.05965768 0.04523661 0.03207332 1.519203 0.6900673 0.4118519 0.2429237 0.03051072 0.005408235 0.004452288 0.004394998 0.01022897
81569566223761408 587722983354204353 0 0.0812497 0.122824 0.0903727 0.06554582 0.04970141 0.03523892 1.627119 0.8129845 0.3764286 0.2766352 0.04166307 0.00617888 0.004832354 0.004706962 0.01152297
82132248962269184 587722983355318441 0 0.117646 0.1308288 0.0962626 0.06981766 0.05294062 0.03753556 1.341984 0.6952267 0.4041557 0.2105923 0.07172469 0.01036155 0.008822675 0.009974805 0.02779529
