uberColorU uberColorG uberColorR uberColorI
1.884834 1.083769 0.4986191 0.390028
1.276453 0.5590172 0.3308449 0.1632862
1.432394 0.7106781 0.3492355 0.2963057
1.230015 0.5591583 0.3249531 0.2258739
1.965923 0.9542122 0.4143047 0.3244705
1.671028 0.8762989 0.3863945 0.2755756
1.964432 1.016768 0.45121 0.3450575
1.603794 1.080975 0.4445744 0.2752361
1.274208 0.7255554 0.3722305 0.25284
1.499292 0.822361 0.4384518 0.319109
1.512524 0.7867298 0.3361807 0.3687286
1.79928 1.068087 0.4531898 0.3714542
0.9143162 0.3789825 0.309412 0.06897736
1.823406 0.9411221 0.386301 0.306263
0.912878 0.2067204 0.1720753 0.1359425
2.027899 1.149439 0.517561 0.3585529
1.681927 0.8619232 0.4833355 0.3301868
1.795208 0.9398785 0.4105415 0.3342896
1.458237 0.7224941 0.3345165 0.3071003
1.614977 0.6548729 0.3517761 0.2309942
1.320576 0.5769663 0.3204422 0.2302284
1.858404 0.8103008 0.3996792 0.3142681
1.797153 0.8804264 0.3993607 0.3050499
1.762926 1.232307 0.4565468 0.3359146
0.9939213 0.3247356 0.241333 0.03855705
1.413246 0.6248646 0.3019066 0.3031693
1.740217 0.9430408 0.4362659 0.3134117
2.028381 1.022064 0.3943996 0.3567486
2.074144 1.23321 0.478138 0.3388901
0.8640137 0.6347599 0.4000378 0.1814499
1.204046 0.7330456 0.4007835 0.2422924
1.182144 0.5537586 0.3924885 0.1884422
2.073294 0.9360924 0.4227448 0.338974
1.548605 0.7507954 0.350935 0.2762051
1.942818 0.9095287 0.4106407 0.3058167
1.105667 0.4331207 0.2994995 0.1645756
1.972269 0.9075031 0.3907738 0.3257971
1.450687 0.8126831 0.4005508 0.2913761
1.336763 0.6229076 0.3530607 0.2259951
1.45624 0.6814175 0.3854418 0.2363214
1.557375 0.7479191 0.3114605 0.2876949
1.786867 0.7883968 0.3633614 0.2826881
1.085831 0.347086 0.2532539 0.1275291
1.187199 0.5337868 0.3489456 0.1906109
1.214039 0.8946171 0.3878403 0.2752399
1.703897 0.8871365 0.400198 0.2436352
1.51276 0.6958561 0.377346 0.2418098
1.318666 0.7425594 0.3314075 0.2011566
1.721386 0.8531837 0.3568439 0.2804089
1.86565 0.989296 0.380127 0.347332
1.266125 0.5446682 0.3938808 0.1733074
1.380657 0.662159 0.3162842 0.2009602
1.870958 1.030024 0.4154415 0.3683281
1.741369 0.7272511 0.3697319 0.2486744
1.510626 0.9214363 0.453516 0.3274574
1.75205 0.8774891 0.3611336 0.2739906
1.247478 0.6703472 0.3572063 0.2161007
1.596241 0.8353806 0.4296169 0.3069296
1.95623 0.9246464 0.4134636 0.3042889
2.131298 0.97789 0.4265051 0.3009586
1.336971 0.6423664 0.4720154 0.313694
1.179508 0.576601 0.3189182 0.1458969
1.444811 0.7026978 0.4221706 0.2779827
1.396284 0.7758541 0.4093628 0.2983265
-0.3846989 2.503759 1.043507 0.3657341
2.467281 1.007969 0.3757668 0.3698006
1.317966 0.7068081 0.3972988 0.2674904
