uberColorU uberColorG uberColorR uberColorI
1.067015 0.4726181 0.3610859 0.196146
1.81954 0.8536491 0.4065933 0.3505163
0.9114246 0.3366947 0.2479401 0.1399212
1.201801 0.5081043 0.3154888 0.2404461
1.825769 1.007053 0.4788265 0.3899059
1.836317 0.9635868 0.4116325 0.35676
1.747034 0.8834038 0.3954353 0.3292084
1.385309 0.7263374 0.3831539 0.2723417
1.713564 1.18788 0.4735298 0.3612785
1.028627 0.5160923 0.4344273 0.1580467
1.778473 1.14526 0.4698734 0.3414574
2.030752 1.289574 0.4888535 0.363842
1.272184 0.5136738 0.3526173 0.2830448
1.342436 0.6974182 0.4269505 0.3129444
1.888882 0.9346542 0.3787727 0.3367577
1.798845 0.9174442 0.4079037 0.2822094
1.586361 1.478252 0.4345245 0.3855381
1.678238 0.8949776 0.4118271 0.3040466
1.289516 0.6026897 0.3400707 0.2516689
2.195074 1.165678 0.5145664 0.3740978
1.122492 0.4758015 0.2824955 0.2185516
1.70496 0.9239349 0.4510841 0.3500767
1.541174 0.824295 0.3851986 0.3263779
1.374943 0.7863808 0.5621548 0.1323433
1.452681 0.5948219 0.3283558 0.3069515
1.789789 0.8723564 0.3594456 0.3154869
1.885559 1.156055 0.4748478 0.4137383
1.428207 0.8225136 0.3718166 0.2532825
2.124039 1.277597 0.4996872 0.347168
1.106421 0.5290623 0.352726 0.170948
1.417324 0.9208736 0.3900928 0.2354774
2.077017 1.119333 0.4428596 0.318346
1.739603 0.9762516 0.4455376 0.3345261
1.924191 0.938694 0.4147186 0.3321619
1.877234 0.8763409 0.3995457 0.3027496
2.169727 1.218832 0.4813766 0.3949261
2.023361 0.9155579 0.4448967 0.3359814
1.161213 0.7329712 0.3723793 0.2505474
1.355566 0.5599766 0.3169327 0.2598476
0.9856129 0.4402027 0.298687 0.1981163
1.216516 0.6136589 0.4246998 0.2000198
1.965111 1.01367 0.4400005 0.3157921
0.9609489 0.3242378 0.1996174 0.1500149
1.065508 0.3698711 0.2948246 0.09968376
1.141405 0.4950581 0.2846985 0.1926174
1.420389 0.5953789 0.2990551 0.1917915
1.778259 0.8741493 0.3862228 0.2985134
1.343685 0.6109848 0.3280182 0.1646328
1.108912 0.3802319 0.1751137 0.1567726
1.613804 0.8855686 0.3977909 0.3385048
1.929932 1.001848 0.4241695 0.358861
2.075212 1.029882 0.4270382 0.4029522
1.444574 0.6663704 0.3207836 0.2226315
2.010958 1.019402 0.4172649 0.342001
0.9317627 0.351181 0.2687168 0.1156673
