SpecObjID ObjID Red zSpec extinctionU extinctionG extinctionR extinctionI extinctionZ uberColorU uberColorG uberColorR uberColorI ModelMagErr_U ModelMagErr_G ModelMagErr_R ModelMagErr_I ModelMagErr_Z
78754788241571840 587722982809534568 0 0.144634 0.2202736 0.1620752 0.1175505 0.08913495 0.06319779 1.13866 0.6066628 0.3690872 0.2538261 0.03413946 0.007193435 0.005391548 0.005771291 0.01443251
80161987350233088 587722982813270120 0 0.227344 0.1217448 0.08957868 0.06496993 0.04926473 0.03492931 1.68169 1.260267 0.4991264 0.3127403 0.1307385 0.01401383 0.007357216 0.006964713 0.0163212
81288132896489472 587722982815301820 0 0.0820889 0.1094303 0.08051775 0.05839819 0.04428158 0.0313962 1.933817 0.8855877 0.4302368 0.2877159 0.04136894 0.005204788 0.003837586 0.003770308 0.008682741
81288132040851456 587722982816088255 0 0.122991 0.1244435 0.09156433 0.06641009 0.05035676 0.03570357 1.873264 1.048676 0.4263382 0.3817959 0.06974958 0.00761175 0.004970966 0.00491183 0.01034147
81006755676422144 587722982815629409 0 0.125391 0.1099507 0.08090068 0.05867592 0.04449217 0.0315455 1.636667 0.8491611 0.4840183 0.362751 0.08075575 0.009514559 0.006745336 0.006562149 0.01583835
81850829128073216 587722982817661105 0 0.0731352 0.1133143 0.0833756 0.06047094 0.04585328 0.03251055 1.69656 0.8494625 0.3963051 0.2567081 0.05738902 0.007690464 0.00556521 0.005595836 0.01326071
81850828981272576 587722982817792023 0 0.136438 0.1147421 0.08442617 0.0612329 0.04643106 0.0329202 1.185127 0.7365036 0.484623 0.2466717 0.04086972 0.008084122 0.006140504 0.005890636 0.01343497
82132247376822272 587722982819102962 0 0.0848689 0.1282172 0.09434099 0.06842395 0.05188381 0.03678627 2.085474 0.9311771 0.4096489 0.3298531 0.0838727 0.0083869 0.005602542 0.005594102 0.01299576
78191514043285504 587722983344570481 0 0.0497436 0.1680436 0.1236449 0.08967758 0.0679998 0.0482127 1.023237 0.3630981 0.2773476 0.1010666 0.03418959 0.006885386 0.007198717 0.007852064 0.02927298
79034665419145216 587722983347126374 0 0.129681 0.1595642 0.1174058 0.08515249 0.06456856 0.04577991 1.848394 1.051777 0.4508572 0.3901711 0.09347123 0.00945871 0.005939082 0.005505967 0.01476651
79597814828498944 587722983347912895 0 0.0283483 0.1003961 0.07387048 0.05357703 0.04062584 0.02880423 0.9491959 0.3180046 0.1328602 0.02927399 0.07125451 0.01307121 0.01551534 0.01888868 0.08200245
80161989535465472 587722983350403213 0 0.107546 0.1219091 0.08969955 0.0650576 0.04933121 0.03497644 1.804199 1.10232 0.3921165 0.3589268 0.1054107 0.01084477 0.006366591 0.006386959 0.01706985
80161989317361664 587722983350272106 0 0.0650142 0.1271866 0.09358269 0.06787397 0.05146678 0.03649059 1.088009 0.4139595 0.3573551 0.1132164 0.02454849 0.005236723 0.005536381 0.005716044 0.01658727
80161989153783808 587722983350206624 0 0.108979 0.1230148 0.09051314 0.06564768 0.04977865 0.03529368 1.166136 0.73489 0.4557991 0.2359104 0.03608241 0.006783616 0.005185494 0.005239894 0.01418299
81569565296820224 587722983353352350 0 0.0620736 0.148702 0.1094135 0.07935583 0.06017312 0.0426635 1.707409 0.7151985 0.3750439 0.2407055 0.08002987 0.008888099 0.007072159 0.007203794 0.02169638
78191513833570304 587722983881375894 0 0.153105 0.1824466 0.1342425 0.09736387 0.07382807 0.05234502 1.632135 0.8762245 0.3900356 0.2599573 0.08340742 0.008386694 0.005824302 0.006204358 0.01392789
78472954647674880 587722983882227855 0 0.111257 0.2162377 0.1591056 0.1153967 0.08750182 0.06203988 1.091368 0.543272 0.2943878 0.242979 0.04028753 0.00767252 0.006888532 0.007715598 0.01752327
78472954622509056 587722983882227837 0 0.117225 0.213811 0.1573201 0.1141017 0.08651983 0.06134364 1.937307 0.9468899 0.4070702 0.3374634 0.08868617 0.008409978 0.005839276 0.005950772 0.01177756
79034667499520000 587722983883473099 0 0.10321 0.1650424 0.1214367 0.08807599 0.06678536 0.04735165 1.95159 0.9930725 0.4202194 0.3308258 0.12354 0.01135566 0.007113966 0.007199987 0.01483989
80443408077815808 587722983887470632 0 0.0786754 0.1126408 0.08288006 0.06011154 0.04558076 0.03231733 1.657 0.7598629 0.4418516 0.1980457 0.03531012 0.005103269 0.00396688 0.00404318 0.008363401
81006756867604480 587722983888322691 0 0.116193 0.1240322 0.0912617 0.06619059 0.05019033 0.03558557 0.9838371 0.4758701 0.3333073 0.1588688 0.03983393 0.008292108 0.007991333 0.009090929 0.02217557
81569565233905664 587722983890026696 0 0.247383 0.1391591 0.1023919 0.07426316 0.0563115 0.03992556 0.889246 0.8855953 0.4210777 0.2518749 0.05229638 0.01173815 0.008081612 0.009023043 0.0195743
81569566102126592 587722983890944160 0 0.0238169 0.1158104 0.08521223 0.06180302 0.04686336 0.03322671 1.704449 0.7270479 0.3467293 0.2819195 0.03151396 0.006054346 0.004025002 0.00433319 0.007828526
82412353596948480 587722983892582538 0 0.0902679 0.09241617 0.06799894 0.0493185 0.03739673 0.02651475 1.892933 0.9061623 0.3867226 0.3221664 0.05425747 0.006788883 0.004955906 0.005194405 0.009580186
82695482756825088 587722983893958894 0 0.128849 0.109172 0.08032772 0.05826037 0.04417707 0.03132209 1.874287 1.025366 0.4945354 0.3874836 0.1126023 0.01130479 0.007096066 0.007078845 0.01443895
78191514135560192 587722984418312269 0 0.165645 0.2490677 0.1832616 0.1329166 0.1007866 0.071459 1.471806 0.9581642 0.4658909 0.3111858 0.08165131 0.01017737 0.006808872 0.006764453 0.01422385
79316151305240576 587722984421195920 0 0.126502 0.1229695 0.09047976 0.06562347 0.04976029 0.03528067 2.112896 1.046791 0.4014091 0.3954639 0.1520179 0.01089558 0.00666903 0.007008579 0.01525414
79880582179323904 587722984422310029 0 0.0763179 0.1094351 0.08052128 0.05840075 0.04428352 0.03139757 2.006456 0.6842766 0.3890743 0.203826 0.09140541 0.006841164 0.005472917 0.005801297 0.0151545
80725178740375552 587722984424538145 0 0.0860789 0.1020279 0.07507116 0.05444787 0.04128617 0.02927241 0.8019238 0.5678654 0.3453484 0.2698402 0.03189272 0.006843919 0.005827681 0.006208048 0.0146731
80725179193360384 587722984425062525 0 0.0778231 0.120605 0.08874002 0.06436166 0.0488035 0.03460229 0.9365425 0.4382954 0.256424 0.1459999 0.05799325 0.01065278 0.01022576 0.01235048 0.03476509
82976922702708736 587722984431223002 0 0.174656 0.1175922 0.08652323 0.06275386 0.04758435 0.0337379 1.308374 0.7886982 0.431263 0.2478104 0.04646819 0.008187098 0.009797614 0.006767778 0.01314506
83258393757745152 587722984432402506 0 0.0739641 0.2251301 0.1656486 0.1201422 0.09110018 0.06459116 0.980154 1.298433 0.2953796 0.2496452 0.1126318 0.02505416 0.01010065 0.01074101 0.02551952
77910041809649664 587728947979550819 0 0.0488937 0.3005081 0.221111 0.1603681 0.1216023 0.08621754 1.002836 0.4455585 0.2868824 0.2192192 0.06360763 0.009740745 0.009229061 0.01217199 0.03043941
78191513045041152 587728947980075170 0 0.0540025 0.2521619 0.1855384 0.1345679 0.1020388 0.07234675 1.229305 0.4522743 0.2782555 0.1906567 0.0617712 0.01104567 0.008638497 0.01034263 0.02411412
77910041998393344 587728948516356260 0 0.0481204 0.2911918 0.2142562 0.1553964 0.1178324 0.08354466 1.292208 0.6020651 0.3640089 0.2646151 0.03206744 0.004607986 0.003947206 0.004015767 0.009939126
77910043546091520 587728949590622394 0 0.0991426 0.2241818 0.1649508 0.1196361 0.09071644 0.06431908 1.833599 0.8722916 0.4081116 0.2978516 0.06129611 0.006712915 0.004808679 0.005051447 0.01050886
77910043319599104 587728949590556697 0 0.135203 0.2323203 0.170939 0.1239793 0.09400972 0.06665406 1.073612 0.6268559 0.4475441 0.2257519 0.04016684 0.008127772 0.00623436 0.006596467 0.01560884
78472952709906432 588848898833514657 0 0.111239 0.2014415 0.1482187 0.1075006 0.08151443 0.05779474 1.916256 0.9541702 0.3895435 0.3859501 0.06255095 0.007948865 0.005145175 0.005334451 0.0106899
78191512747245568 588848898832203877 0 0.0964479 0.2507327 0.1844867 0.1338052 0.1014604 0.0719367 -2.142618 4.098982 0.6270428 -0.6733017 0.07493 0.2679143 0.009845005 0.009075533 0.05205489
79597814102884352 588848898835742823 0 0.0482059 0.133402 0.09815592 0.07119086 0.05398187 0.03827382 1.661829 0.7610493 0.36619 0.2589989 0.03929007 0.006304224 0.004690038 0.004887686 0.01058292
79597813419212800 588848898836201589 0 0.141509 0.1190343 0.08758427 0.06352342 0.04816789 0.03415163 3.12604 1.105793 0.3847332 0.3044395 0.364895 0.01421575 0.007995472 0.008409199 0.01941978
79880580690345984 588848898837512415 0 0.117085 0.1161683 0.08547556 0.061994 0.04700818 0.03332938 1.778107 0.9099846 0.4095383 0.299015 0.05359324 0.007903163 0.005571761 0.00554058 0.01233971
